"Symbol","UNDERLYING ASSET","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME","VALUE
 (₹ Crores)","NAV","52W H","52W L","30D  %CHNG","365 D","365 D % CHNG","30 D"
"SETF10GILT","Nifty 10 yr Benchmark G-Sec Index","239.55","239.99","239.01","239.56","239.99","-","0.43","0.18","10,189","0.24","240.20","267.00","213.80",-0.13,"16-Nov-2023","8.80","16-Oct-2024"
"BSLNIFTY","Nifty 50","27.20","27.28","26.98","27.09","27.14","-","0.05","0.18","2,13,426","0.58","27.06","30.45","21.80",-5.61,"16-Nov-2023","20.63","16-Oct-2024"
"ITETF","Mirae Asset Nifty IT ETF","43.50","43.69","43.03","43.32","43.40","-","0.08","0.18","1,21,894","0.53","43.33","46.14","31.00",0.86,"16-Nov-2023","19.80","16-Oct-2024"
"NIFTYBEES","Nifty 50","265.65","265.65","255.75","263.64","264.10","-","0.46","0.17","51,20,603","135.02","263.04","293.99","211.95",-5.36,"16-Nov-2023","20.81","16-Oct-2024"
"PVTBANKADD","DSP Nifty Private Bank ETF","24.96","24.98","24.70","24.66","24.70","-","0.04","0.16","51,838","0.13","24.73","31.00","22.40",-4.95,"-","-","16-Oct-2024"
"VAL30IETF","Nifty200 Value 30 Index","12.90","12.90","12.46","12.58","12.60","-","0.02","0.16","1,80,086","0.23","12.54","14.14","12.46","-","-","-","-"
"HEALTHADD","DSP Nifty Healthcare ETF","140.07","140.35","138.96","139.57","139.80","-","0.23","0.16","334","-","139.54","151.58","114.90",-5.81,"-","-","16-Oct-2024"
"ABGSEC","Aditya Birla Sun Life CRISIL Broad Based Gilt ETF","103.85","103.85","103.26","103.65","103.80","-","0.15","0.14","672","0.01","103.42","120.00","99.66",0.23,"-","-","16-Oct-2024"
"NIF10GETF","UTI Nifty 10 yr Benchmark G-Sec ETF","24.50","24.50","24.04","24.31","24.34","-","0.03","0.12","682","-","24.24","27.30","21.60",0.41,"-","-","16-Oct-2024"
"METALIETF","Nifty Metal Index","9.10","9.10","8.83","8.84","8.85","-","0.01","0.11","42,38,444","3.76","8.83","10.67","8.80",-9.05,"-","-","16-Oct-2024"
"EBBETF0425","Nifty BHARAT Bond","1,247.91","1,258.02","1,247.91","1,252.52","1,253.95","-","1.43","0.11","14,728","1.84","1,254.18","1,392.50","1,145.63",0.55,"16-Nov-2023","7.82","16-Oct-2024"
"BANKBETF","Bajaj Finserv Nifty Bank ETF","51.14","51.14","50.12","50.59","50.64","-","0.05","0.10","29,129","0.15","50.42","62.13","41.51",-2.99,"-","-","16-Oct-2024"
"HDFCMID150","HDFC NIFTY Midcap 150 ETF","20.49","20.49","20.22","20.22","20.24","-","0.02","0.10","3,26,824","0.66","20.13","23.65","15.15",-8.73,"16-Nov-2023","30.31","16-Oct-2024"
"PSUBNKBEES","Nifty PSU Bank","73.86","73.87","72.27","72.73","72.80","-","0.07","0.10","10,89,759","7.94","72.77","90.30","55.25",-1.64,"16-Nov-2023","26.00","16-Oct-2024"
"LIQUIDCASE","Zerodha Nifty 1D Rate Liquid ETF","108.50","108.50","105.33","105.33","105.42","-","0.09","0.09","44,48,920","46.90","105.34","108.50","98.35",0.52,"-","-","16-Oct-2024"
"ITBEES","Nifty IT TRI","45.81","45.87","45.28","45.46","45.50","-","0.04","0.09","32,26,247","14.68","45.54","46.89","32.56",0.6,"16-Nov-2023","33.67","16-Oct-2024"
"UTISENSETF","SENSEX","850.32","850.96","842.03","850.32","850.96","-","0.64","0.08","1,927","0.16","844.45","938.90","697.05",-4.83,"16-Nov-2023","20.13","16-Oct-2024"
"LIQUIDPLUS","Nifty 1D Rate Index","1,002.04","1,002.04","1,002.02","1,001.35","1,002.04","-","0.69","0.07","6,63,109","66.45","1,001.35","1,026.04","1,001.33","-","-","-","-"
"LIQUIDBETF","Bajaj Finserv Nifty 1D Rate Liquid ETF","1,000.86","1,000.86","1,000.82","1,000.16","1,000.85","-","0.69","0.07","17,669","1.77","1,000.16","1,200.00","810.00",0.09,"-","-","16-Oct-2024"
"LIQUID1","Kotak Nifty 1D Rate Liquid ETF","1,019.21","1,019.21","1,019.19","1,018.52","1,019.21","-","0.69","0.07","96,986","9.88","1,018.52","1,120.00","999.00",0.55,"-","-","16-Oct-2024"
"IT","NIFTY IT Index","45.17","45.73","44.54","45.17","45.20","-","0.03","0.07","38,354","0.17","45.28","46.72","32.36",0.33,"-","-","16-Oct-2024"
"GROWWLIQID","Nifty 1D Rate Index","100.92","101.01","98.90","100.92","100.99","-","0.07","0.07","67,663","0.68","100.93","105.30","98.00",0.55,"-","-","16-Oct-2024"
"LIQUIDADD","DSP S&P BSE Liquid Rate ETF","1,041.38","1,041.40","1,041.38","1,040.70","1,041.40","-","0.70","0.07","13,99,278","145.72","1,040.71","1,219.70","949.27",0.53,"-","-","16-Oct-2024"
"LIQUIDSHRI","SHRIRAM NIFTY 1D RATE LIQUID ETF","1,022.99","1,023.00","1,022.99","1,022.32","1,022.99","-","0.67","0.07","5,346","0.55","1,022.33","1,044.11","1,000.00",0.53,"-","-","16-Oct-2024"
"SBIETFIT","Nifty IT Index","453.70","459.87","451.40","453.71","454.00","-","0.29","0.06","4,107","0.19","454.55","473.25","325.03",0.73,"16-Nov-2023","33.94","16-Oct-2024"
"EBBETF0430","Nifty BHARAT Bond","1,439.99","1,455.10","1,420.01","1,428.19","1,428.99","-","0.80","0.06","7,314","1.05","1,428.42","1,469.70","1,265.85",0.09,"16-Nov-2023","9.31","16-Oct-2024"
"NIFTYBETF","Bajaj Finserv Nifty 50 ETF","239.00","239.32","237.57","238.05","238.20","-","0.15","0.06","8,409","0.20","237.74","273.52","215.04",-5.62,"-","-","16-Oct-2024"
"MOHEALTH","Motilal Oswal S&P BSE Healthcare ETF","43.67","43.67","42.23","43.07","43.09","-","0.02","0.05","45,926","0.20","42.82","46.50","28.51",-4.79,"16-Nov-2023","45.60","16-Oct-2024"
"QUAL30IETF","ICICI Prudential Nifty 200 Quality 30 ETF","21.27","21.33","21.15","21.24","21.25","-","0.01","0.05","3,60,061","0.76","21.21","26.50","16.51",-8.78,"-","-","16-Oct-2024"
"AXISBNKETF","Nifty Bank","518.98","518.98","511.25","513.78","514.04","-","0.26","0.05","572","0.03","511.76","566.49","438.05",-2.62,"16-Nov-2023","14.58","16-Oct-2024"
"MONIFTY500","Motilal Oswal Nifty 500 ETF","22.70","22.70","22.15","22.28","22.29","-","0.01","0.04","48,86,147","10.87","22.10","25.00","17.25",-6.73,"16-Nov-2023","26.49","16-Oct-2024"
"AXISHCETF","Nifty Healthcare Index","142.10","142.10","140.21","141.18","141.23","-","0.05","0.04","1,348","0.02","141.01","156.27","85.70",-6.6,"16-Nov-2023","40.11","16-Oct-2024"
"HDFCBSE500","HDFC S&P BSE 500 ETF","35.49","35.49","34.44","35.06","35.07","-","0.01","0.03","8,757","0.03","35.01","44.40","27.50",-7.11,"16-Nov-2023","25.16","16-Oct-2024"
"ITETFADD","DSP Nifty IT ETF","43.44","43.51","43.07","43.25","43.26","-","0.01","0.02","3,988","0.02","43.33","46.32","31.19",0.44,"-","-","16-Oct-2024"
"HDFCNIFTY","Nifty 50","263.24","263.24","260.00","260.94","260.98","-","0.04","0.02","1,81,714","4.74","260.27","292.45","213.01",-5.64,"16-Nov-2023","20.41","16-Oct-2024"
"NIF100IETF","Nifty 100","27.97","27.97","26.69","26.92","26.92","-","-","-","2,32,452","0.63","26.87","34.57","23.18",-6.29,"-","-","16-Oct-2024"
"LIQUIDIETF","S&P BSE Liquid Rate Index","999.99","1,000.01","999.99","999.99","1,000.00","-","0.01","-","12,15,294","121.53","1,000.00","1,030.00","970.00",0,"-","-","16-Oct-2024"
"PHARMABEES","Nifty Pharma TRI","22.52","22.53","22.12","22.28","22.28","-","-","-","41,80,515","9.32","22.23","24.53","15.40",-7.18,"16-Nov-2023","39.81","16-Oct-2024"
"LIQUIDETF","Nifty1D rate index","999.99","1,000.01","999.99","999.99","1,000.01","-","0.02","-","2,37,908","23.79","1,000.00","1,010.00","991.25",0,"16-Nov-2023","-","16-Oct-2024"
"MOM30IETF","ICICI Prudential Nifty 200 Momentum 30 ETF","33.95","33.98","33.23","33.67","33.67","-","-","-","14,42,743","4.85","33.59","39.42","24.21",-11.74,"-","-","16-Oct-2024"
"LIQUIDSBI","SBI NIFTY 1D Rate ETF","999.99","1,000.01","999.99","1,000.00","1,000.01","-","0.01","-","1,14,872","11.49","1,000.00","1,000.01","990.15",0,"16-Nov-2023","-","16-Oct-2024"
"LIQUIDBEES","Government Securities","995.30","1,000.01","995.30","999.99","999.99","-","-","-","31,38,633","313.86","1,000.00","1,030.00","970.00",0,"16-Nov-2023","-","16-Oct-2024"
"LIQUID","Mirae Asset Nifty 1D Rate Liquid ETF","1,000.00","1,000.00","999.99","999.99","1,000.00","-","0.01","-","1,20,652","12.07","1,000.00","1,018.00","990.00",0,"16-Nov-2023","-","16-Oct-2024"
"HDFCLOWVOL","HDFC NIFTY100 Low Volatility 30 ETF","19.41","19.99","19.25","19.40","19.40","-","-","-","26,703","0.05","19.32","22.25","15.30",-7.87,"16-Nov-2023","24.58","16-Oct-2024"
"HEALTHY","Nifty Healthcare TRI","14.80","14.80","14.15","14.20","14.20","-","-","-","1,71,566","0.24","14.22","15.75","8.88",-6.08,"16-Nov-2023","41.67","16-Oct-2024"
"HDFCLIQUID","HDFC Nifty 1D Rate Liquid ETF","999.99","1,000.01","999.99","1,000.00","1,000.01","-","0.01","-","1,05,986","10.60","1,000.00","1,020.00","980.00",0,"16-Nov-2023","-","16-Oct-2024"
"ABSLLIQUID","Aditya Birla Sun Life CRISIL Overnight Fund AI ETF","1,000.00","1,000.01","999.99","999.99","1,000.01","-","0.02","-","4,844","0.48","1,000.00","1,030.00","990.00",0,"16-Nov-2023","-","16-Oct-2024"
"SETFNIF50","Nifty 50","246.30","251.48","246.30","249.24","249.25","-","0.01","-","6,24,391","15.57","248.64","277.25","201.90",-5.38,"16-Nov-2023","20.80","16-Oct-2024"
"HDFCPSUBK","HDFC NIFTY PSU BANK ETF","66.87","66.87","65.15","66.01","66.00","-","-0.01","-0.02","15,327","0.10","65.72","81.65","62.33",-1.56,"-","-","16-Oct-2024"
"HDFCNIFBAN","Nifty Bank","51.88","51.88","50.91","51.19","51.18","-","-0.01","-0.02","15,400","0.08","51.08","56.30","43.86",-3.33,"16-Nov-2023","-88.55","16-Oct-2024"
"LTGILTBEES","NIFTY 8-13 yr G-Sec Index","26.89","26.89","26.84","26.88","26.87","-","-0.01","-0.04","29,44,271","7.91","26.88","27.65","23.94",-0.11,"16-Nov-2023","9.37","16-Oct-2024"
"HEALTHIETF","Nifty Healthcare Index","141.57","143.31","138.45","141.58","141.49","-","-0.09","-0.06","78,789","1.12","141.64","155.90","94.10",-6.18,"-","-","16-Oct-2024"
"NIFMID150","UTI Nifty Midcap 150 Exchange Traded Fund (ETF)","207.25","207.25","202.00","202.13","202.00","-","-0.13","-0.06","1,458","0.03","200.73","232.80","151.05",-8.58,"16-Nov-2023","29.96","16-Oct-2024"
"LICNETFN50","Nifty 50","263.59","264.51","258.11","259.32","259.17","-","-0.15","-0.06","31,387","0.82","259.22","326.00","211.25",-5.72,"16-Nov-2023","20.42","16-Oct-2024"
"NIFTYIETF","Nifty 50","263.60","263.60","261.47","262.43","262.26","-","-0.17","-0.06","3,95,928","10.38","261.65","295.30","224.95",-5.44,"-","-","16-Oct-2024"
"NIFTY50ADD","Nifty 50 Index","243.18","249.27","242.26","243.18","243.00","-","-0.18","-0.07","13,316","0.32","243.26","275.64","199.81",-5.89,"-","-","16-Oct-2024"
"ALPHAETF","Mirae Asset Nifty 200 Alpha 30 ETF","25.48","25.56","25.22","25.41","25.39","-","-0.02","-0.08","14,31,704","3.63","25.31","30.20","18.05",-12.07,"16-Nov-2023","37.87","16-Oct-2024"
"QNIFTY","Nifty 50","2,552.00","2,564.00","2,542.00","2,546.41","2,544.00","-","-2.41","-0.09","370","0.09","2,544.20","2,884.51","2,092.00",-5.64,"16-Nov-2023","20.78","16-Oct-2024"
"NIFTYQLITY","Aditya Birla Sun Life Nifty 200 Quality 30 ETF","22.86","22.86","21.34","21.47","21.45","-","-0.02","-0.09","36,006","0.08","21.40","25.10","16.55",-8.87,"16-Nov-2023","26.37","16-Oct-2024"
"SENSEXIETF","SENSEX","882.45","882.45","875.01","879.91","879.00","-","-0.91","-0.10","5,146","0.45","876.17","980.00","720.00",-4.52,"-","-","16-Oct-2024"
"BANKIETF","Nifty Bank","52.60","52.60","50.81","51.06","51.01","-","-0.05","-0.10","5,86,602","3.00","50.93","56.45","44.88",-2.89,"-","-","16-Oct-2024"
"METAL","Nifty Metal Total Return Index","8.98","8.98","8.63","8.83","8.82","-","-0.01","-0.11","1,06,872","0.09","8.83","10.84","7.90","-","-","-","-"
"PVTBANIETF","Nifty Private Bank Index","25.35","25.35","24.53","24.83","24.80","-","-0.03","-0.12","57,32,448","14.16","24.61","27.36","22.31",-4.63,"-","-","16-Oct-2024"
"BANKETFADD","DSP Nifty Bank ETF","51.45","51.45","50.44","50.86","50.80","-","-0.06","-0.12","9,203","0.05","50.79","58.92","40.75",-3.5,"-","-","16-Oct-2024"
"NIFTYETF","Nifty 50","254.95","254.98","250.70","251.31","251.01","-","-0.30","-0.12","7,69,471","19.31","251.19","283.80","206.26",-5.79,"16-Nov-2023","20.36","16-Oct-2024"
"LICNFNHGP","Nifty 100","270.88","270.88","262.06","263.73","263.39","-","-0.34","-0.13","637","0.02","262.85","325.00","204.26",-5.19,"16-Nov-2023","25.32","16-Oct-2024"
"PSUBANK","Nifty PSU Bank","660.47","660.48","648.39","654.57","653.70","-","-0.87","-0.13","6,952","0.45","652.31","896.99","495.00",-1.44,"-","-","16-Oct-2024"
"CPSEETF","CPSE ETF","88.00","91.10","88.00","88.44","88.30","-","-0.14","-0.16","17,66,289","15.61","88.55","106.60","55.80",-8.99,"16-Nov-2023","54.18","16-Oct-2024"
"MOM50","Nifty 50","246.79","246.79","241.20","242.81","242.39","-","-0.42","-0.17","7,349","0.18","241.76","281.00","195.00",-5.72,"16-Nov-2023","22.81","16-Oct-2024"
"SENSEXETF","Mirae Asset S&P BSE Sensex ETF","80.00","80.00","78.26","78.80","78.66","-","-0.14","-0.18","12,899","0.10","78.68","100.00","65.30",-4.74,"16-Nov-2023","18.56","16-Oct-2024"
"EQUAL50ADD","NIFTY 50 Equal Weight Index","304.98","306.11","302.49","304.98","304.42","-","-0.56","-0.18","8,300","0.25","304.31","351.28","242.76",-8.17,"-","-","16-Oct-2024"
"OILIETF","Nifty Oil & Gas Index","11.00","11.17","10.81","10.95","10.93","-","-0.02","-0.18","22,30,632","2.43","10.87","14.00","10.81",-11.74,"-","-","16-Oct-2024"
"BANKNIFTY1","Nifty Bank","522.96","522.96","510.93","515.77","514.80","-","-0.97","-0.19","1,60,647","8.28","514.96","560.97","440.78",-3.18,"-","-","16-Oct-2024"
"MOGSEC","Nifty 5 yr Benchmark G-Sec Index","56.85","57.99","56.85","57.99","57.86","-","-0.13","-0.22","2,497","0.01","57.80","59.99","53.15",0.43,"16-Nov-2023","8.52","16-Oct-2024"
"AXISNIFTY","Nifty 50","264.05","264.05","255.00","256.38","255.77","-","-0.61","-0.24","46,244","1.19","255.64","288.50","205.60",-5.52,"16-Nov-2023","20.83","16-Oct-2024"
"HDFCQUAL","HDFC NIFTY100 Quality 30 ETF","59.95","59.95","56.50","56.82","56.68","-","-0.14","-0.25","9,859","0.06","56.72","66.28","44.40",-9.62,"16-Nov-2023","26.09","16-Oct-2024"
"ALPL30IETF","Nifty Alpha Low-Volatility 30 Index","28.10","28.16","27.91","28.12","28.05","-","-0.07","-0.25","72,57,921","20.31","28.05","32.67","20.86",-9.8,"-","-","16-Oct-2024"
"SENSEXADD","DSP S&P BSE Sensex ETF","80.77","80.77","78.50","78.75","78.50","-","-0.25","-0.32","1,032","0.01","78.66","95.00","65.46",-4.92,"-","-","16-Oct-2024"
"LOWVOL","Mirae Asset Nifty 100 Low Volatility 30 ETF","193.41","194.06","192.51","193.97","193.30","-","-0.67","-0.35","545","0.01","193.46","220.00","153.50",-8.2,"16-Nov-2023","23.82","16-Oct-2024"
"HDFCGROWTH","HDFC NIFTY Growth Sectors 15 ETF","120.51","120.87","118.99","120.50","120.05","-","-0.45","-0.37","2,307","0.03","120.62","147.00","98.30",-6.36,"16-Nov-2023","18.11","16-Oct-2024"
"MOMENTUM","Aditya Birla Sun Life Nifty 200 Momentum 30 ETF","33.97","33.97","33.19","33.61","33.48","-","-0.13","-0.39","1,61,236","0.54","33.38","39.57","24.07",-11.74,"16-Nov-2023","37.46","16-Oct-2024"
"BANKPSU","Nifty PSU Bank Total Return Index","65.41","65.51","64.85","65.26","65.00","-","-0.26","-0.40","983","0.01","65.34","71.70","61.98","-","-","-","-"
"HDFCVALUE","HDFC NIFTY50 Value 20 ETF","143.70","143.70","138.50","139.51","138.90","-","-0.61","-0.44","1,637","0.02","139.48","155.70","105.01",-4.69,"16-Nov-2023","29.05","16-Oct-2024"
"COMMOIETF","ICICI Prudential Nifty Commodities ETF","85.24","86.28","84.39","85.23","84.85","-","-0.38","-0.45","87,252","0.74","84.73","101.33","64.56",-9.92,"-","-","16-Oct-2024"
"SBINEQWETF","Nifty50 Equal Weight","29.91","29.91","29.60","29.86","29.72","-","-0.14","-0.47","17,913","0.05","29.66","34.57","29.60",-8.06,"-","-","16-Oct-2024"
"MONQ50","Nasdaq Q-50 Total Return Index","71.47","72.20","69.16","70.11","69.75","-","-0.36","-0.51","77,269","0.54","71.73","92.65","52.00",10.29,"16-Nov-2023","29.47","16-Oct-2024"
"MOQUALITY","Motilal Oswal S&P BSE Quality ETF","194.22","194.22","188.16","190.05","189.00","-","-1.05","-0.55","2,287","0.04","189.31","222.70","137.33",-10.83,"16-Nov-2023","34.69","16-Oct-2024"
"NIFITETF","UTI Nifty IT ETF","431.31","432.53","428.40","431.96","429.58","-","-2.38","-0.55","323","0.01","430.03","450.00","321.68",1.61,"-","-","16-Oct-2024"
"IDFNIFTYET","Nifty 50","257.60","257.60","254.56","257.55","256.10","-","-1.45","-0.56","465","0.01","255.39","298.84","205.80",-5.31,"16-Nov-2023","20.60","16-Oct-2024"
"SBIETFQLTY","Nifty 200 Quality 30 Index","224.00","224.20","222.50","223.78","222.50","-","-1.28","-0.57","4,750","0.11","223.36","257.15","174.63",-8.56,"16-Nov-2023","26.17","16-Oct-2024"
"MIDQ50ADD","Nifty Midcap 150 Quality 50 Index","245.80","245.97","243.00","244.60","243.20","-","-1.40","-0.57","5,559","0.14","243.07","269.48","188.30",-7.83,"-","-","16-Oct-2024"
"SHARIABEES","Shariah","539.60","539.61","531.00","536.10","532.82","-","-3.28","-0.61","5,300","0.28","534.37","617.70","430.02",-8.11,"16-Nov-2023","19.31","16-Oct-2024"
"FMCGIETF","Nifty FMCG Index","59.65","59.78","58.70","59.60","59.22","-","-0.38","-0.64","20,16,299","11.87","59.50","71.20","52.94",-10.18,"-","-","16-Oct-2024"
"MAHKTECH","Hang Seng TECH Total Return Index","19.00","19.24","18.70","18.98","18.85","-","-0.13","-0.68","8,06,308","1.52","16.13","24.00","11.65",0.16,"16-Nov-2023","32.65","16-Oct-2024"
"ICICIB22","S&P BSE BHARAT 22 index","110.00","110.80","108.45","109.59","108.78","-","-0.81","-0.74","5,10,809","5.57","109.66","124.00","77.51",-6.25,"16-Nov-2023","38.33","16-Oct-2024"
