"Symbol","UNDERLYING ASSET","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME","VALUE
 (₹ Crores)","NAV","52W H","52W L","30D  %CHNG","365 D","365 D % CHNG","30 D"
"GOLDETFADD","DSP Gold ETF","74.11","74.11","72.20","74.11","72.20","-","-1.91","-2.58","44,465","0.32","74.00","80.75","59.60",-3.69,"-","-","16-Oct-2024"
"IVZINGOLD","Gold","6,641.00","6,641.00","6,460.00","6,649.50","6,472.00","-","-177.50","-2.67","361","0.23","6,607.65","7,200.00","5,335.95",-3.62,"16-Nov-2023","19.96","16-Oct-2024"
"HNGSNGBEES","Hang Seng Index","344.70","349.99","337.25","347.54","338.00","-","-9.54","-2.75","1,49,040","5.09","307.26","421.38","205.00",5.83,"16-Nov-2023","27.55","16-Oct-2024"
"AXISILVER","Axis Silver ETF","89.92","89.92","88.00","91.02","88.51","-","-2.51","-2.76","63,902","0.57","90.69","103.18","70.25",-4.55,"16-Nov-2023","19.52","16-Oct-2024"
"SILVER","Physical price of Silver","90.90","90.90","88.10","90.90","88.29","-","-2.61","-2.87","2,29,042","2.03","90.87","103.00","70.00",-4.82,"16-Nov-2023","19.00","16-Oct-2024"
"BSLGOLDETF","Gold","66.80","66.80","65.00","67.11","65.09","-","-2.02","-3.01","76,261","0.50","66.82","78.00","53.58",-4.2,"16-Nov-2023","19.88","16-Oct-2024"
"TATSILV","Tata Silver Exchange Traded Fund","8.87","8.94","8.59","8.87","8.60","-","-0.27","-3.04","26,14,814","2.26","8.85","10.32","6.74",-4.43,"-","-","16-Oct-2024"
"SILVERETF","UTI Silver Exchange Traded Fund (UTI Silver ETF)","87.69","87.69","85.61","88.70","86.00","-","-2.70","-3.04","2,93,023","2.53","89.05","98.50","69.00",-4.84,"16-Nov-2023","18.71","16-Oct-2024"
"SILVRETF","Mirae Asset Silver ETF","87.00","87.49","85.95","89.04","86.30","-","-2.74","-3.08","36,972","0.32","88.85","98.00","68.43",-4.66,"16-Nov-2023","18.83","16-Oct-2024"
"ESILVER","Edelweiss Silver ETF","90.88","90.88","88.74","91.63","88.75","-","-2.88","-3.14","48,542","0.43","91.38","100.80","70.71",-5.08,"-","-","16-Oct-2024"
"SILVERBEES","Domestic price of Silver- based on LBMA Silver daily spot fixing price","85.91","85.92","84.55","87.61","84.75","-","-2.86","-3.26","1,53,43,610","130.64","87.51","100.00","67.00",-5.15,"16-Nov-2023","18.54","16-Oct-2024"
"SILVERIETF","Domestic Price of Silver","90.50","90.50","87.85","91.12","88.15","-","-2.97","-3.26","16,95,087","14.99","90.81","101.00","68.65",-5.09,"-","-","16-Oct-2024"
"SILVER1","Kotak Silver ETF","86.99","86.99","84.81","88.71","85.82","-","-2.89","-3.26","1,48,236","1.28","88.45","111.00","68.66",-5.55,"-","-","16-Oct-2024"
"HDFCSILVER","HDFC Silver ETF","87.94","87.94","84.75","87.94","84.90","-","-3.04","-3.46","9,75,992","8.33","87.52","100.35","67.85",-4.94,"16-Nov-2023","18.74","16-Oct-2024"
"SILVERADD","DSP Silver ETF","86.90","86.90","84.90","88.08","85.00","-","-3.08","-3.50","1,84,389","1.58","87.81","98.60","67.60",-4.87,"-","-","16-Oct-2024"
