Security Code,Issuer Name,Symbol,Security Name,Status,Group,Face Value,ISIN No,Industry,Market Capitalisation
512404,Bengal Steel Industries Ltd.,BENGALS,BENGAL STEEL INDUSTRIES LTD.,Active,P,10,INE523W01017,Iron & Steel Products,0.02
512408,Uniworth Securities Limited,UNIWSEC,UNIWORTH SECURITIES LTD.,Active,XT,10,INE728J01019,Other Textile Products,1.25
512415,Mercury Trade Links Ltd.,MERCTRD,MERCURY TRADE LINKS LTD.,Active,XT,10,INE319T01016,Diversified Commercial Services,80.65
512425,Nirav Commercials Ltd.,NIRAVCOM,NIRAV COMMERCIALS LTD.,Active,XT,10,INE242B01018,Trading & Distributors,36.65
512431,White Hall Commercial Co.Ltd.,WHITHAL,WHITE HALL COMMERCIAL CO.LTD.,Active,XT,10,INE416X01012,Diversified Commercial Services,0
512433,Asutosh Enterprise Ltd.,ASUTENT,ASUTOSH ENTERPRISES LTD.,Active,P,10,INE508W01018,Trading & Distributors,
512437,Apollo Finvest (India) Ltd.,APOLLOFI,APOLLO FINVEST (INDIA) LTD.,Active,X,10,INE412D01013,Non Banking Financial Company (NBFC),298.78
512441,Enbee Trade & Finance Ltd.,ENBETRD,ENBEE TRADE & FINANCE LTD.,Active,X,10,INE993I01011,Diversified Commercial Services,18.56
512443,Ganon Products Limited,GANONPRO,Ganon Products Ltd,Active,X,10,INE162L01017,Trading & Distributors,8.26
512445,Devinsu Trading Ltd.,DEVITRD,DEVINSU TRADING LTD.,Active,P,10,INE07LH01016,Other Financial Services,
512453,Shri Jagdamba Polymers Ltd,SHRJAGP,SHRI JAGDAMBA POLYMERS LTD.,Active,X,1,INE564J01026,Packaging,642.66
512455,Lloyds Metals and Energy Limited,LLOYDSME,LLOYDS METALS AND ENERGY LTD.,Active,A,1,INE281B01032,Sponge Iron,51235.54
512461,Punctual Trading Ltd.,PUNCTRD,PUNCTUAL TRADING LTD.,Active,P,10,INE07NX01019,Diversified Commercial Services,
512463,LLOYDS ENTERPRISES LIMITED,LLOYDSENT,Lloyds Enterprises Ltd,Active,B,1,INE080I01025,Trading - Metals,5912.84
512477,Betex India Ltd.,BETXIND,BETEX INDIA LTD.,Active,XT,10,INE765L01017,Other Textile Products,53.48
