Security Code,Issuer Name,Symbol,Security Name,Status,Group,Face Value,ISIN No,Industry,Market Capitalisation
500002,ABB India Limited,ABB,ABB India Limited,Active,A,2,INE117A01022,Heavy Electrical Equipment,151015.44
500003,Aegis Logistics Ltd.,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A,1,INE208C01025,Trading - Gas,28204.61
500008,Amara Raja Energy & Mobility Limited,ARE&M,Amara Raja Energy & Mobility Ltd,Active,A,1,INE885A01032,Auto Components & Equipments,24161.18
500009,Ambalal Sarabhai Enterprise Ltd.,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Active,X,10,INE432A01017,Pharmaceuticals,433.13
500012,Andhra Petrochemicals Ltd.,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Active,X,10,INE714B01016,Commodity Chemicals,710.36
500013,Ansal Properties & Infrastructure Ltd.,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,Z,5,INE436A01026,Residential- Commercial Projects,173.46
500014,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,Active,X,10,INE096A01010,Precious Metals,39.14
500016,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X,10,INE957C01019,Hotels & Resorts,37.09
500020,Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Active,A,2,INE032A01023,Other Textile Products,4769.92
500023,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,Active,B,10,INE363A01022,Hotels & Resorts,367.47
500027,Atul Limited.,ATUL,ATUL LTD.,Active,A,10,INE100A01010,Specialty Chemicals,23093.82
500028,ATV Projects India Ltd,ATVPR,ATV PROJECTS INDIA LTD.,Active,X,10,INE447A01015,Industrial Products,180.6
500031,Bajaj Electricals Ltd.,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,A,2,INE193E01025,Household Appliances,9980.71
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,A,1,INE306A01021,Sugar,4335.36
500033,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,Active,A,10,INE451A01017,Passenger Cars & Utility Vehicles,9605.38
500034,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Limited,Active,A,2,INE296A01024,Non Banking Financial Company (NBFC),427107.46
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A,1,INE119A01028,Sugar,12453.58
500039,Banco Products (India) Ltd.,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B,2,INE213C01025,Auto Components & Equipments,5249.83
500040,ADITYA BIRLA REAL ESTATE LIMITED,ABREL,Aditya Birla Real Estate Ltd,Active,A,10,INE055A01016,Paper & Paper Products,31010.63
500041,Bannari Amman Sugars Ltd.,BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,B,10,INE459A01010,Sugar,4413.6
500042,BASF India Ltd,BASF,BASF INDIA LTD.,Active,A,10,INE373A01013,Specialty Chemicals,36101.96
500043,Bata India Limited,BATAINDIA,BATA INDIA LTD.,Active,A,5,INE176A01028,Footwear,17428.33
500048,BEML Ltd,BEML,BEML LTD.,Active,A,10,INE258A01016,Construction Vehicles,16801.06
500049,Bharat Electronics Ltd.,BEL,BHARAT ELECTRONICS LTD.,Active,A,1,INE263A01024,Aerospace & Defense,209169.32
500052,Bhansali Engineering Polymers Ltd.,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,B,1,INE922A01025,Specialty Chemicals,3313.55
500058,Bihar Sponge Iron Ltd,BIHSPONG,BIHAR SPONGE IRON LTD.,Active,X,10,INE819C01011,Sponge Iron,154.25
500059,Binani Industries Limited,BINANIIND,BINANI INDUSTRIES LTD.,Active,T,10,INE071A01013,Holding Company,51.72
500060,Birla Cable Limited,BIRLACABLE,Birla Cable Ltd,Active,B,10,INE800A01015,Telecom - Equipment & Accessories,669.3
500067,Blue Star Ltd,BLUESTARCO,BLUE STAR LTD.,Active,A,2,INE472A01039,Household Appliances,38079.86
500068,Disa India Ltd.,DISAQ,DISA INDIA LTD.,Active,B,10,INE131C01011,Industrial Products,2719.36
500069,QUEST CAPITAL MARKETS LIMITED,QUESTCAP,Quest Capital Markets Ltd,Active,X,10,INE418C01012,Other Capital Market related Services,498.9
500074,BPL Ltd.,BPL,BPL LTD.,Active,B,10,INE110A01019,Consumer Electronics,546.08
500078,ORIENTAL AROMATICS LIMITED,OAL,Oriental Aromatics Ltd-$,Active,B,5,INE959C01023,Specialty Chemicals,2086.69
500083,Century Extrusions Ltd.,CENTEXT,CENTURY EXTRUSIONS LTD.,Active,T,1,INE281A01026,Aluminium- Copper & Zinc Products,192
500084,CESC Limited,CESC,CESC LTD.,Active,A,1,INE486A01021,Integrated Power Utilities,24171.78
500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,Active,A,10,INE085A01013,Fertilizers,19377.55
500086,Exide Industries Ltd.,EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A,1,INE302A01020,Auto Components & Equipments,37710.25
500087,Cipla Ltd.,CIPLA,CIPLA LTD.,Active,A,2,INE059A01026,Pharmaceuticals,129619.07
500089,DIC India Ltd,DICIND,DIC INDIA LTD.,Active,T,10,INE303A01010,Printing Inks,683.83
500092,CRISIL Ltd.,CRISIL,CRISIL LTD.,Active,A,1,INE007A01025,Other Financial Services,38905.34
500093,CG Power and Industrial Solutions Limited,CGPOWER,CG Power and Industrial Solutions Ltd,Active,A,2,INE067A01029,Heavy Electrical Equipment,107674.34
500096,Dabur India Ltd.,DABUR,DABUR INDIA LTD.,Active,A,1,INE016A01026,Personal Care,94925
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,B,2,INE495A01022,Sugar,3763.68
500101,Arvind Ltd.,ARVIND,ARVIND LTD.,Active,A,10,INE034A01011,Garments & Apparels,9626.45
500103,Bharat Heavy Electricals Ltd.,BHEL,BHARAT HEAVY ELECTRICALS LTD.,Active,A,2,INE257A01026,Heavy Electrical Equipment,81967.77
500104,Hindustan Petroleum Corporation Ltd,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A,10,INE094A01015,Refineries & Marketing,79793.34
500106,IFCI Ltd.,IFCI,IFCI LTD.,Active,A,10,INE039A01010,Financial Institution,15002.01
500108,Mahanagar Telephone Nigam Ltd.,MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Active,A,10,INE153A01019,Telecom - Cellular & Fixed line services,3030.3
500109,Mangalore Refinery & Petrochemicals,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Active,A,10,INE103A01014,Refineries & Marketing,28751.38
500110,Chennai Petroleum Corporation Ltd.,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Active,A,10,INE178A01016,Refineries & Marketing,9417.9
500112,State Bank Of India,SBIN,STATE BANK OF INDIA,Active,A,1,INE062A01020,Public Sector Bank,757878.73
500113,Steel Authority of India Ltd.,SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,A,10,INE114A01011,Iron & Steel,48962.24
500114,Titan Company Limited,TITAN,Titan Company Limited,Active,A,1,INE280A01028,Gems- Jewellery And Watches,287025.7
500116,IDBI Bank Ltd,IDBI,IDBI BANK LTD.,Active,A,10,INE008A01015,Private Sector Bank,89083.65
500117,DCW Ltd.,DCW,DCW LTD.,Active,A,2,INE500A01029,Petrochemicals,3103.56
500119,Dhampur Sugar Mills Ltd.,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Active,B,10,INE041A01016,Sugar,1273.75
500120,Diamines & Chemicals Ltd.,DIAMINESQ,DIAMINES & CHEMICALS LTD.-$,Active,B,10,INE591D01014,Specialty Chemicals,501.72
500123,Elantas Beck India Ltd,ELANTAS,ELANTAS BECK INDIA LTD.-$,Active,B,10,INE280B01018,Specialty Chemicals,10939.33
500124,Dr. Reddy's Laboratories Ltd.,DRREDDY,DR.REDDY'S LABORATORIES LTD.,Active,A,1,INE089A01031,Pharmaceuticals,106174.66
500125,E.I.D. Parry (India) Ltd.,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Active,A,1,INE126A01031,Fertilizers,14386.49
500126,PROCTER & GAMBLE HEALTH LIMITED,PGHL,Procter & Gamble Health Ltd,Active,A,10,INE199A01012,Pharmaceuticals,9293.99
500128,Electrosteel Castings Ltd.,ELECTCAST,ELECTROSTEEL CASTINGS LTD.,Active,A,1,INE086A01029,Iron & Steel Products,10166.05
500133,Esab India Ltd.,ESABINDIA,ESAB INDIA LTD.,Active,A,10,INE284A01012,Other Industrial Products,9650.5
500135,EPL LIMITED,EPL,EPL Ltd,Active,A,2,INE255A01020,Packaging,8371.02
500136,Ester Industries Ltd.,ESTER,ESTER INDUSTRIES LTD.,Active,B,5,INE778B01029,Packaging,1369.72
500142,FGP Ltd,FGP,FGP LTD.,Active,XT,10,INE512A01016,Non Banking Financial Company (NBFC),12.76
500143,P.H. Capital Ltd.,PHCAP,PH CAPITAL LTD.,Active,X,10,INE160F01013,Investment Company,59.25
500144,Finolex Cables Ltd.,FINCABLES,FINOLEX CABLES LTD.,Active,A,2,INE235A01022,Cables - Electricals,18381.78
500147,JOHN COCKERILL INDIA LIMITED,COCKERILL,John Cockerill India Ltd-$,Active,B,10,INE515A01019,Industrial Products,2518.28
500148,Uflex Limited,UFLEX,UFLEX LTD.,Active,B,10,INE516A01017,Packaging,4223.65
500150,Foseco India Ltd,FOSECOIND,FOSECO INDIA LTD.,Active,B,10,INE519A01011,Specialty Chemicals,2912.23
500151,Golden Tobacco Ltd.,GOLDENTOBC,GOLDEN TOBACCO LTD.,Active,Z,10,INE973A01010,Residential- Commercial Projects,70.44
500153,Ganesh Benzoplast Ltd.,GANESHBE,GANESH BENZOPLAST LTD.,Active,B,1,INE388A01029,Oil Storage & Transportation,1017.21
500159,Metroglobal Limited,METROGLOBL,Metroglobal Limited,Active,X,10,INE085D01033,Trading & Distributors,212.15
500160,GTL Ltd,GTL,GTL LTD.,Active,B,10,INE043A01012,Other Telecom Services,207.32
500163,Godfrey Phillips India Ltd.,GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Active,A,2,INE260B01028,Cigarettes & Tobacco Products,35539.4
500164,Godrej Industries Ltd.,GODREJIND,GODREJ INDUSTRIES LTD.,Active,A,1,INE233A01035,Diversified,34235.9
500165,Kansai Nerolac Paints,KANSAINER,KANSAI NEROLAC PAINTS LTD.,Active,A,1,INE531A01024,Paints,22930.18
500166,Goodricke Group Ltd.,GOODRICKE,GOODRICKE GROUP LTD.,Active,X,10,INE300A01016,Tea & Coffee,677.59
500168,Goodyear India Ltd.,GOODYEAR,GOODYEAR INDIA LTD.,Active,B,10,INE533A01012,Tyres & Rubber Products,2344.71
500170,GTN Industries Limited,GTNINDS,GTN INDUSTRIES LTD.,Active,X,10,INE537A01013,Other Textile Products,64.02
500171,GHCL Ltd.,GHCL,GHCL LTD.,Active,A,10,INE539A01019,Commodity Chemicals,5709.86
500173,GFL LIMITED,GFLLIMITED,GFL Ltd,Active,T,1,INE538A01037,Holding Company,1010.51
500174,Gujarat Lease Financing Limited,GLFL,GUJARAT LEASE FINANCING LTD.,Active,T,10,INE540A01017,Other Financial Services,20.75
500179,HCL Infosystems Ltd,HCL-INSYS,HCL INFOSYSTEMS LTD.,Active,T,2,INE236A01020,Computers Hardware & Equipments,594.55
500180,HDFC Bank Ltd.,HDFCBANK,HDFC Bank Ltd,Active,A,1,INE040A01034,Private Sector Bank,1343352.88
500182,Hero MotoCorp Limited,HEROMOTOCO,HERO MOTOCORP LTD.,Active,A,2,INE158A01026,2/3 Wheelers,96358.42
500183,HFCL LIMITED,HFCL,HFCL Ltd,Active,A,1,INE548A01028,Telecom - Infrastructure,18444.57
500184,Himadri Speciality Chemical Ltd.,HSCL,Himadri Speciality Chemical Ltd,Active,A,1,INE019C01026,Specialty Chemicals,28938.6
500185,Hindustan Construction Co. Ltd.,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Active,A,1,INE549A01026,Civil Construction,6743.04
500186,Hindustan Oil Exploration Co. Ltd.,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,Active,A,10,INE345A01011,Oil Exploration & Production,2767.19
500187,AGI GREENPAC LIMITED,AGI,Agi Greenpac Ltd,Active,A,2,INE415A01038,Packaging,5964.45
500188,Hindustan Zinc Ltd.,HINDZINC,HINDUSTAN ZINC LTD.,Active,A,2,INE267A01025,Zinc,236385.47
500189,NDL Ventures Limited,NDLVENTURE,NDL Ventures Ltd,Active,B,10,INE353A01023,Other Financial Services,387.22
500191,HMT Limited,HMT,HMT LTD.,Active,Z,10,INE262A01018,Industrial Products,3365.3
500192,Prag Bosimi Synthetics Ltd.,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,Active,X,10,INE962B01011,Other Textile Products,22.24
500193,HLV LIMITED,HLVLTD,HLV Ltd,Active,B,2,INE102A01024,Hotels & Resorts,1228.86
500199,IG Petrochemicals Ltd,IGPL,I G PETROCHEMICALS LTD.,Active,B,10,INE204A01010,Commodity Chemicals,1773.48
500201,India Glycols Ltd,INDIAGLYCO,INDIA GLYCOLS LTD.,Active,B,10,INE560A01015,Commodity Chemicals,3916.63
500202,India Lease Devl. Ltd.,INDLEASE,INDIA LEASE DEVELOPMENT LTD.,Active,X,10,INE333C01013,Non Banking Financial Company (NBFC),15.55
500207,Indo Rama Synthetics (India) Ltd.,INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.,Active,B,10,INE156A01020,Other Textile Products,1109.21
500209,Infosys Ltd,INFY,INFOSYS LTD.,Active,A,5,INE009A01021,Computers - Software & Consulting,728203.51
500210,Ingersoll-Rand (India) Ltd.,INGERRAND,INGERSOLL-RAND (INDIA) LTD.,Active,A,10,INE177A01018,Compressors- Pumps & Diesel Engines,12974.76
500213,International Travel House Ltd,ITHL,INTERNATIONAL TRAVEL HOUSE LTD.-$,Active,X,10,INE262B01016,"Tour, Travel Related Services",514.73
500214,Ion Exchange (India) Ltd,IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,Active,A,1,INE570A01022,Water Supply & Management,10156.66
500215,Agro Tech Foods Ltd,ATFL,AGRO TECH FOODS LTD.,Active,B,10,INE209A01019,Edible Oil,2327.26
500219,Jain Irrigation Systems Ltd.,JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,Active,A,2,INE175A01038,Plastic Products - Industrial,4393.27
500220,Jasch Industries Ltd.,JASCH,JASCH INDUSTRIES LTD.,Active,X,10,INE711C01028,Other Textile Products,127.73
500227,Jindal Poly Films Ltd.,JINDALPOLY,JINDAL POLY FILMS LTD.,Active,B,10,INE197D01010,Packaging,3406.58
500228,JSW Steel Limited,JSWSTEEL,JSW STEEL LTD.,Active,A,1,INE019A01038,Iron & Steel,244533.17
500231,Umang Dairies Limited,UMANGDAIRY,UMANG DAIRIES LTD.,Active,T,5,INE864B01027,Dairy Products,195.81
500233,Kajaria Ceramics Ltd,KAJARIACER,KAJARIA CERAMICS LTD.,Active,A,1,INE217B01036,Ceramics,19576.83
500234,Kakatiya Cement Sugar & Industries Ltd.,KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,Active,B,10,INE437B01014,Cement & Cement Products,150.04
500235,Kalyani Steels Ltd,KSL,KALYANI STEELS LTD.,Active,B,5,INE907A01026,Iron & Steel Products,3534.15
500238,Whirlpool of India Ltd,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,Active,A,10,INE716A01013,Household Appliances,25856.48
500239,K.G.Denim Ltd,KGDENIM,KG DENIM LTD.,Active,X,10,INE104A01012,Other Textile Products,65.27
500240,Kinetic Engineering Ltd.,KINETICENG,KINETIC ENGINEERING LTD.,Active,X,10,INE266B01017,Auto Components & Equipments,375.19
500241,Kirloskar Brothers Ltd.,KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$,Active,A,2,INE732A01036,Compressors- Pumps & Diesel Engines,16228.01
500243,Kirloskar Industries Ltd,KIRLOSIND,Kirloskar Industries Ltd,Active,B,10,INE250A01039,Other Industrial Products,4919.7
500245,Kirloskar Ferrous Industries Ltd.,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.,Active,A,5,INE884B01025,Pig Iron,10457.06
500246,Envair Electrodyne Ltd.,ENVAIREL,ENVAIR ELECTRODYNE LTD.,Active,X,10,INE601C01013,Industrial Products,77.84
500247,Kotak Mahindra Bank Ltd.,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,Active,A,5,INE237A01028,Private Sector Bank,349113.87
500248,KRISHNA FILAMENT INDUSTRIES LIMITED,KRIFILIND,Krishna Filament Industries Ltd,Active,XT,10,INE073A01019,Plastic Products - Industrial,4.77
500249,KSB LIMITED,KSB,KSB Ltd,Active,A,2,INE999A01023,Compressors- Pumps & Diesel Engines,13863.96
500250,L.g.Balkrishnan & Bros. Ltd.,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,Active,A,10,INE337A01034,Auto Components & Equipments,4198.89
500251,Trent Ltd [Lakme Ltd],TRENT,TRENT LTD.,Active,A,1,INE849A01020,Speciality Retail,247737.43
500252,LMW Limited,LMW,LMW Ltd,Active,A,10,INE269B01029,Industrial Products,17637.37
500253,Lic Housing Finance Ltd.,LICHSGFIN,LIC HOUSING FINANCE LTD.,Active,A,2,INE115A01026,Housing Finance Company,34777.73
500257,Lupin Ltd,LUPIN,LUPIN LTD.,Active,A,2,INE326A01037,Pharmaceuticals,99457.34
500259,Lyka Labs Ltd.,LYKALABS,LYKA LABS LTD.,Active,B,10,INE933A01014,Pharmaceuticals,530.35
500260,The Ramco Cements Limited,RAMCOCEM,The Ramco Cements Limited,Active,A,1,INE331A01037,Cement & Cement Products,20731.11
500262,HYBRID FINANCIAL SERVICES LIMITED,HYBRIDFIN,Hybrid Financial Services Ltd,Active,T,5,INE965B01022,Stockbroking & Allied,42.92
500264,Mafatlal Industries Ltd.,MAFATIND,MAFATLAL INDUSTRIES LTD.-$,Active,X,2,INE270B01035,Other Textile Products,1149.14
500265,Maharashtra Seamless Ltd.,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,Active,A,5,INE271B01025,Iron & Steel Products,8618.34
500266,Maharashtra Scooters Ltd.,MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.,Active,T,10,INE288A01013,Investment Company,11971.42
500267,Majestic Auto Ltd.,MAJESAUT,MAJESTIC AUTO LTD.-$,Active,X,10,INE201B01022,Diversified Commercial Services,436.69
500268,Manali Petrochemicals Ltd.,MANALIPETC,MANALI PETROCHEMICAL LTD.,Active,B,5,INE201A01024,Petrochemicals,1149.47
500270,Baroda Rayon Corpn. Ltd.,BARODARY,BARODA RAYON CORPORATION LTD.,Active,X,10,INE461A01024,Other Textile Products,428.21
500271,Max Financial Services Limited,MFSL,Max Financial Services Ltd,Active,A,2,INE180A01020,Life Insurance,42947.81
500277,Mid India Industries Limited,MIDINDIA,MID INDIA INDUSTRIES LTD.,Active,XT,10,INE401C01018,Other Textile Products,16.14
500279,Mirc Electronics Ltd,MIRCELECTR,MIRC ELECTRONICS LTD.,Active,T,1,INE831A01028,Consumer Electronics,537.2
500280,Century Enka Ltd.,CENTENKA,CENTURY ENKA LTD.,Active,B,10,INE485A01015,Other Textile Products,1324.15
500282,Modern Thread (India) Ltd.,MODTHREAD,MODERN THREADS (INDIA) LTD.,Active,T,10,INE794W01014,Other Textile Products,204.34
500284,Lords Chloro Alkali Ltd,LORDSCHLO,LORDS CHLORO ALKALI LTD.,Active,B,10,INE846D01012,Commodity Chemicals,354.67
500285,SpiceJet Limited,SPICEJET,SPICEJET LTD.,Active,B,10,INE285B01017,Airline,7850.32
500288,Morepen Laboratories Ltd.,MOREPENLAB,MOREPEN LABORATORIES LTD.,Active,A,2,INE083A01026,Pharmaceuticals,4512.4
500290,M.R.F. Ltd.,MRF,MRF LTD.,Active,A,10,INE883A01011,Tyres & Rubber Products,50851.28
500292,HeidelbergCement India Limited,HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.,Active,B,10,INE578A01017,Cement & Cement Products,5266.49
500294,NCC Limited,NCC,NCC Limited,Active,A,2,INE868B01028,Civil Construction,19252.92
500295,Vedanta Limited,VEDL,Vedanta Limited,Active,A,1,INE205A01025,Diversified Metals,183690.48
500296,Nahar Spinning Mills Ltd.,NAHARSPING,NAHAR SPINNING MILLS LTD.,Active,B,5,INE290A01027,Other Textile Products,1000.81
500298,Naperol Investments Limited,NAPEROL,Naperol Investments Ltd,Active,XT,10,INE585A01020,Investment Company,952.85
500300,Grasim Industries Ltd,GRASIM,GRASIM INDUSTRIES LTD.,Active,A,2,INE047A01021,Cement & Cement Products,181022.93
500302,Piramal Enterprises Limited,PEL,PIRAMAL ENTERPRISES LTD.,Active,A,2,INE140A01024,Non Banking Financial Company (NBFC),24072
500304,NIIT Ltd.,NIITLTD,NIIT LTD.,Active,B,2,INE161A01038,Education,2198.38
500306,Jaykay Enterprises Limited,JAYKAY,JAYKAY ENTERPRISES LTD.,Active,X,1,INE903A01025,Aerospace & Defense,1571.34
500307,Nirlon Limited,NIRLON,NIRLON LTD.,Active,B,10,INE910A01012,Diversified Commercial Services,3766.93
500312,Oil And Natural Gas Corporation Ltd,ONGC,Oil and Natural Gas Corporation Ltd,Active,A,5,INE213A01029,Oil Exploration & Production,336396.67
500313,Oil Country Tubular Ltd.,OILCOUNTUB,OIL COUNTRY TUBULAR LTD.,Active,T,10,INE591A01010,Oil Equipment & Services,225.74
500314,Oriental Hotels Ltd.,ORIENTHOT,ORIENTAL HOTELS LTD.,Active,B,1,INE750A01020,Hotels & Resorts,3161.21
500317,Oswal Agro Mills Ltd.,OSWALAGRO,OSWAL AGRO MILLS LTD.,Active,T,10,INE142A01012,Trading & Distributors,993.34
500319,Indian Sucrose Ltd.,INDSUCR,INDIAN SUCROSE LTD.,Active,X,10,INE557C01017,Sugar,214.78
500322,Panyam Cements & Mineral Inds. Ltd.,PANCM,PANYAM CEMENTS & MINERAL INDUSTRIES LTD.,Active,XT,10,INE167E01037,Cement & Cement Products,103.12
500325,Reliance Industries Ltd,RELIANCE,RELIANCE INDUSTRIES LTD.,Active,A,10,INE002A01018,Refineries & Marketing,1767260.24
500327,Pil Italica Lifestyle Limited,PILITA,Pil Italica Lifestyle Ltd,Active,B,1,INE600A01035,Plastic Products - Consumer,360.26
500330,Raymond Limited,RAYMOND,RAYMOND LTD.,Active,A,10,INE301A01014,Residential- Commercial Projects,10979.67
500331,Pidilite Industries Ltd.,PIDILITIND,PIDILITE INDUSTRIES LTD.,Active,A,1,INE318A01026,Specialty Chemicals,157960.1
500333,Pix Transmissions Ltd.,PIXTRANS,PIX TRANSMISSIONS LTD.,Active,B,10,INE751B01018,Rubber,2201.76
500335,Birla Corporation Ltd.,BIRLACORPN,BIRLA CORPORATION LTD.,Active,A,10,INE340A01012,Cement & Cement Products,9025.03
500336,Surya Roshni Ltd.,SURYAROSNI,SURYA ROSHNI LTD.,Active,A,5,INE335A01020,Iron & Steel Products,7244.55
500337,Prime Securities Ltd.,PRIMESECU,PRIME SECURITIES LTD.,Active,B,5,INE032B01021,Other Financial Services,1064.14
500338,PRISM JOHNSON LIMITED.,PRSMJOHNSN,Prism Johnson Ltd,Active,A,10,INE010A01011,Cement & Cement Products,9573.84
500339,Rain Industries Limited,RAIN,Rain Industries Ltd,Active,A,2,INE855B01025,Petrochemicals,5442.07
500342,Prudential Sugar Corporation Ltd,PRUDMOULI,PRUDENTIAL SUGAR CORPORATION LTD.,Active,T,10,INE024D01016,Sugar,217.96
500343,AMJ LAND HOLDINGS LIMITED,AMJLAND,AMJ Land Holdings Ltd,Active,B,2,INE606A01024,Residential- Commercial Projects,207.34
500346,Punjab Communications Limited,PUNJCOMMU,PUNJAB COMMUNICATIONS LTD.-$,Active,B,10,INE609A01010,Telecom - Equipment & Accessories,72.19
500350,RSWM Limited,RSWM,RSWM LTD.,Active,B,10,INE611A01016,Other Textile Products,923.43
500354,Rajshree Sugars & Chemicals Ltd.,RAJSREESUG,RAJSHREE SUGARS & CHEMICALS LTD.,Active,B,10,INE562B01019,Sugar,215.15
500355,Rallis India Ltd,RALLIS,RALLIS INDIA LTD.,Active,A,1,INE613A01020,Pesticides & Agrochemicals,6592.5
500356,Shree Rama Newsprint Limited,RAMANEWS,SHREE RAMA NEWSPRINT LTD.,Active,B,10,INE278B01020,Paper & Paper Products,286.19
500357,Rama Paper Mills Limited,RAMAPPR-B,RAMA PAPER MILLS LTD.,Active,XT,10,INE425E01013,Paper & Paper Products,15.45
500360,Rapicut Carbides Ltd.,RAPICUT,RAPICUT CARBIDES LTD.,Active,X,10,INE350D01015,Industrial Products,70.95
500365,WELSPUN SPECIALTY SOLUTIONS LIMITED,WELSPLSOL,Welspun Specialty Solutions Ltd,Active,B,6,INE731F01037,Iron & Steel Products,2399.18
500367,Rubfila International Ltd.,RUBFILA,RUBFILA INTERNATIONAL LTD.,Active,B,5,INE642C01025,Rubber,431.7
500368,Patanjali Foods Limited,PATANJALI,Patanjali Foods Ltd,Active,A,2,INE619A01035,Edible Oil,66583.52
500370,Salora International Limited,SALORAINTL,SALORA INTERNATIONAL LTD.,Active,X,10,INE924A01013,Trading & Distributors,56.37
500378,Jindal Saw Ltd.,JINDALSAW,JINDAL SAW LTD.,Active,A,1,INE324A01032,Iron & Steel Products,20854.36
500380,JK Lakshmi Cement Limited,JKLAKSHMI,JK LAKSHMI CEMENT LTD.,Active,A,5,INE786A01032,Cement & Cement Products,9418.31
500387,Shree Cements Ltd.,SHREECEM,SHREE CEMENT LTD.,Active,A,10,INE070A01015,Cement & Cement Products,89004.53
500388,Shree Krishna Paper Mills & Industr,SKPMIL,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.,Active,X,10,INE970C01012,Paper & Paper Products,50.12
500389,Silverline Technologies Ltd.,SILVERLINE,SILVERLINE TECHNOLOGIES LTD.,Active,XT,10,INE368A01021,Software Products,113.61
500390,Reliance Infrastructure Ltd,RELINFRA,RELIANCE INFRASTRUCTURE LTD.,Active,T,10,INE036A01016,Integrated Power Utilities,11652.2
500400,Tata Power Co. Ltd,TATAPOWER,TATA POWER CO.LTD.,Active,A,1,INE245A01021,Integrated Power Utilities,138661.76
500402,SPML Infra Limited,SPMLINFRA,SPML Infra Limited,Active,T,2,INE937A01023,Civil Construction,1349.26
500403,Sundram Fasteners Ltd.,SUNDRMFAST,SUNDRAM FASTENERS LTD.,Active,A,1,INE387A01021,Auto Components & Equipments,28242.3
500404,Sunflag Iron & Steel Co. Ltd.,SUNFLAG,SUNFLAG IRON & STEEL CO.LTD.,Active,A,10,INE947A01014,Iron & Steel,3856.7
500405,Supreme Petrochem Ltd.,SPLPETRO,SUPREME PETROCHEM LTD.,Active,A,2,INE663A01033,Petrochemicals,14497.99
500407,Swaraj Engines Ltd.,SWARAJENG,SWARAJ ENGINES LTD.,Active,B,10,INE277A01016,Compressors- Pumps & Diesel Engines,3679.83
500408,Tata Elxsi Ltd,TATAELXSI,TATA ELXSI LTD.,Active,A,10,INE670A01012,Computers - Software & Consulting,43815.37
500410,ACC Ltd,ACC,ACC LTD.,Active,A,10,INE012A01025,Cement & Cement Products,43503.74
500411,Thermax Ltd.,THERMAX,THERMAX LTD.,Active,A,2,INE152A01029,Heavy Electrical Equipment,59816.46
500412,Thirumalai Chemicals Ltd.,TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,Active,A,1,INE338A01024,Commodity Chemicals,3174.03
